Reference,Colour_Description,Breed_Description,Animal_Name,Gender,Suburb
113452,White/Brindle,Staffordshire Bull Terrier,HAYLEY,Female,CRAIGMORE
113456,Tri-Colored,Australian Cattle Dog X,TARA,Desexed Female,ELIZABETH VALE
113519,Tri-Colored,Tenterfield Terrier,TESSA,Female,CRAIGMORE
113562,White,Maltese X,CINDY,Female,CRAIGMORE
113572,White,Chihuahua,MAX,Male,HILLBANK
113601,White/Tan,Maltese X,HOLLY,Desexed Female,ELIZABETH SOUTH
113622,Black,Staffordshire Bull Terrier X,STEELER,Male,ANDREWS FARM
113631,Tan,Jack Russell Terrier X,POLLY,Desexed Female,DAVOREN PARK
113649,Gold,Labrador Retriever,HOADLEY,Male,ULEYBURY
113667,Red/Brown,Staffordshire Bull Terrier X,MODRA,Male,ELIZABETH VALE
113680,Apricot,Maltese X,ROSIE,Desexed Female,ANGLE VALE
113702,Black /Tan,Australian Kelpie X,ROCKY,Male,CRAIGMORE
113718,Blue/White,Australian Cattle Dog,EMMA,Female,MACDONALD PARK
113739,White/Apricot,Maltese X,BILLY,Male,ELIZABETH EAST
113749,Brown/Black,Australian Terrier,SILKY,Female,DAVOREN PARK
113821,Brown,Australian Kelpie,GEOFF,Male,CRAIGMORE
113828,Off White,Golden Retriever,DIGGER,Male,DAVOREN PARK
113838,Brown/White,Jack Russell Terrier,BENNY,Male,SMITHFIELD
113840,White/Tan,Maltese X,BOSLEY,Male,CRAIGMORE
113851,Blond,Chihuahua X,CUJO,Desexed Male,ANDREWS FARM
113854,Black /Tan,Australian Kelpie X,OSCAR,Desexed Male,SMITHFIELD
113881,White,Poodle,PENNY,Female,ELIZABETH SOUTH
113925,Black/Brindle,Bull Terrier X,ROCKY,Male,DAVOREN PARK
113933,Brown/White,Maltese X,ROSIE,Desexed Female,ELIZABETH PARK
113973,Black/White,Fox Terrier (Smooth),MISTY,Female,CRAIGMORE
114001,Black /Tan,Terrier,CODIE,Male,CRAIGMORE
114033,Blue,Australian Cattle Dog,BLUE,Male,ELIZABETH SOUTH
114037,Tan/White,Jack Russell Terrier,CHAPPIE,Desexed Male,BLAKEVIEW
114053,Tan,Leonberger,CUJO,Male,CRAIGMORE
114089,Black/White,Jack Russell Terrier X,OSCAR,Desexed Male,MUNNO PARA WEST
114091,Brown/White,Maltese X,CHI,Male,CRAIGMORE
114130,Tan,Cocker Spaniel,CASPER,Desexed Male,DAVOREN PARK
114140,Tri-Colored,Beagle,SHANDI,Female,BLAKEVIEW
114141,Chocolate,Australian Kelpie,OAKIE,Desexed Female,HUMBUG SCRUB
114186,Black /Tan,Siberian Husky,LUNA,Desexed Female,CRAIGMORE
114192,Tan,Staffordshire Bull Terrier X,JESSICA,Female,HILLBANK
114197,White,Maltese X,TOTO,Male,ANGLE VALE
114205,Black/White,Australian Cattle Dog X,BECKY,Female,DAVOREN PARK
114236,Black,Bichon Frise x,CODIE,Desexed Male,HILLBANK
114239,Beige,German Shepherd Dog X,MAX,Male,ELIZABETH DOWNS
114270,Light Brown,Maltese,ANASTASIA,Desexed Female,ANDREWS FARM
114287,Tri-Colored,Tenterfield Terrier,CHELSEA,Female,ELIZABETH EAST
114292,Black,Labrador Retriever X,CASSIE,Female,GOULD CREEK
114320,Brown,Terrier,DD,Desexed Female,MACDONALD PARK
114347,Black/White,Border Collie X,PONDE,Male,SMITHFIELD PLAINS
114350,Black/White,Border Collie,TIPPER,Female,HUMBUG SCRUB
114427,Fawn,Weimaraner,TAHNEE,Desexed Female,EVANSTON PARK
114434,Red,Shar Pei,DINO,Male,ELIZABETH PARK
114457,Brown/White,Border Collie X,FLY,Female,BIBARINGA
114466,Black/White,Border Collie,Bonny,Female,MUNNO PARA
114468,White,Shih Tzu X,ANGEL,Female,DAVOREN PARK
114489,Black/White,Chihuahua,TOBY,Desexed Male,BLAKEVIEW
114494,Brown/White,Jack Russell Terrier,BOBI,Male,ELIZABETH
114496,Cream/Caramel,Staffordshire Bull Terrier X,BRANDY,Female,CRAIGMORE
114501,Sandy,Fox Terrier (Smooth),BELLE,Desexed Female,ELIZABETH EAST
114510,Black/White,Jack Russell Terrier,JED,Male,ELIZABETH PARK
114530,White,Maltese X,JACKEE,Desexed Female,ONE TREE HILL
114531,White,Jack Russell Terrier X,LUCY,Desexed Female,DAVOREN PARK
114535,Tan/Black,Jack Russell Terrier X,JAZZY,Desexed Female,HILLBANK
114536,Tan/Black,Jack Russell Terrier X,FOXY,Desexed Female,HILLBANK
114538,Black/White,Pointer,TOBY,Male,ELIZABETH EAST
114556,Tan/Cream,Pomeranian X,RANDY,Male,DAVOREN PARK
114575,White/Sable,Maltese X,MICKY,Male,HILLBANK
114586,Black /Tan,Collie (Rough Coat) X,GOLDIE,Desexed Female,ANGLE VALE
114603,White,Maltese,ALI,Desexed Female,CRAIGMORE
114605,Black,Australian Kelpie,NIG,Male,VIRGINIA
114608,White,Fox Terrier (Smooth),SATAN,Male,CRAIGMORE
114609,Brown/Beige,Maltese X,SUZI,Desexed Female,ELIZABETH NORTH
114616,Tri-Colored,Australian Shepherd,BRADMIN,Male,BLAKEVIEW
114623,Black,Poodle X,LUCKY,Male,ELIZABETH GROVE
114624,Black,Pomeranian,LADY,Female,ELIZABETH GROVE
114634,Tan,Skye Terrier,WELLINGTON,Male,CRAIGMORE
114672,Grey/White,Maltese X,OLLIE,Desexed Male,CRAIGMORE
114696,White,Tenterfield Terrier,TOBY,Desexed Male,ELIZABETH
114709,White/Cream,Chihuahua,NATASHA,Female,CRAIGMORE
114713,Black/White,Maltese X,NOODLES,Male,CRAIGMORE
114750,Black /Tan,Cavalier King Charles Spaniel,BUFFY,Female,CRAIGMORE
114798,Brown/White,Australian Kelpie X,SIGLEY,Desexed Male,BIBARINGA
114799,Black/White,Border Collie,LADY,Desexed Female,BIBARINGA
114802,White/Tan,Jack Russell Terrier,SCRAP,Male,ANDREWS FARM
114809,Brown/White,Jack Russell Terrier,HAYLEY,Desexed Female,ANGLE VALE
114822,Wheaten,Rhodesian Ridgeback,ABBI,Desexed Female,CRAIGMORE
114826,Black,Border Collie X,GYPSY,Female,ANDREWS FARM
114864,Black/White,Maltese X,PIPER,Female,CRAIGMORE
114865,Black/White,Border Collie,XAPHAN,Desexed Male,DAVOREN PARK
114871,Tan/Brindle,Chihuahua X,LUCY,Female,ELIZABETH PARK
114881,Apricot,Poodle,BEN,Male,ELIZABETH NORTH
114896,Black/White,Shih Tzu,SUKI,Female,CRAIGMORE
114902,Brown/White,Collie (Rough),BOOT BOOT,Female,ELIZABETH DOWNS
114910,Gold,Labrador Retriever,MOLLY,Desexed Female,ELIZABETH GROVE
114924,Black/Grey,Australian Cattle Dog X,HOLLY,Desexed Female,CRAIGMORE
114939,White,Tenterfield Terrier,EDDY,Male,ANDREWS FARM
114958,Black/White,Tenterfield Terrier,RAVEN,Desexed Female,MUNNO PARA
114968,Grey/Black,Poodle X,TOBY,Desexed Male,ELIZABETH SOUTH
115012,White/Tan,Tibetan Spaniel,BEN,Desexed Male,BLAKEVIEW
115032,Black,Staffordshire Bull Terrier,WHOMPIE,Male,ELIZABETH DOWNS
115044,Brown/Tan,Australian Silky Terrier,CILLA,Desexed Female,BLAKEVIEW
115100,Tan,Maltese X,OLLIE,Desexed Male,HILLBANK
115151,Brown,Australian Terrier,COCO,Male,ELIZABETH GROVE
115155,Black/White,Maltese X,JASPER,Male,BLAKEVIEW
115177,White,Australian Cattle Dog X,JESSI,Female,ELIZABETH EAST
115185,Brindle/White,Bull Terrier X,MISSIE,Desexed Female,SMITHFIELD PLAINS
115196,Black/White,Shih Tzu X,BJ,Male,ONE TREE HILL
115218,Brown/White,Jack Russell Terrier,REG,Male,ELIZABETH VALE
115273,Black,Australian Cattle Dog X,BOOF MATHEW,Male,DAVOREN PARK
115276,Black/White,Border Collie,ABBY,Desexed Female,ULEYBURY
115305,Black,Poodle X,PEBBLES,Desexed Female,ELIZABETH EAST
115327,Tan/White,Shih Tzu X,TOPSY,Desexed Female,MUNNO PARA
115329,Brown/White,Jack Russell Terrier,BUDDY,Male,CRAIGMORE
115342,White/Tan,Jack Russell Terrier,KIARA,Desexed Female,ELIZABETH DOWNS
115345,Tri-Colored,Australian Silky Terrier,JACK,Male,ANDREWS FARM
115358,Brown,Curly Coated Retriever,WINCHESTER,Desexed Male,ONE TREE HILL
115382,White/Brown,Jack Russell Terrier,ZACK,Male,SMITHFIELD PLAINS
115410,Black /Tan,Australian Kelpie X,BUDDY,Male,SMITHFIELD PLAINS
115447,Black /Tan,Australian Kelpie,ARIS,Male,VIRGINIA
115452,Black/White,Shih Tzu,MISTY,Female,SMITHFIELD PLAINS
115462,White/Brown,Fox Terrier (Smooth),FOXIE,Female,ELIZABETH EAST
115474,Brown/White,Chihuahua X,TIFFANY,Desexed Female,MUNNO PARA
115482,Black/Grey,Shih Tzu,MOLLY,Desexed Female,HILLBANK
115492,Apricot,Poodle,PERI,Female,ELIZABETH DOWNS
115582,White/Black,Fox Terrier (Smooth),SPOT,Male,ELIZABETH GROVE
115601,Brindle,Staffordshire Bull Terrier,TANTRA,Female,SMITHFIELD
115626,Black/White,Border Collie,CLEO,Female,BLAKEVIEW
115628,White,Tenterfield Terrier,CHIP,Desexed Male,ELIZABETH NORTH
115648,Apricot,Poodle (Toy),Brandy,Male,DAVOREN PARK
115649,White,Jack Russell Terrier,MILO,Male,VIRGINIA
115651,Sandy,Pomeranian X,TIA,Female,DAVOREN PARK
115665,White,Maltese X,POPPITS,Male,ELIZABETH NORTH
115734,Black/White,Australian Kelpie X,SOX,Desexed Female,ELIZABETH NORTH
115752,Black,Cocker Spaniel,BELLE,Desexed Female,CRAIGMORE
115775,Tri-Colored,Tenterfield Terrier,COZMO,Male,ANDREWS FARM
115818,White/Brown,Maltese X,SPIKER,Desexed Female,ANDREWS FARM
115846,Black,Labrador Retriever X,JAZZ,Desexed Male,SMITHFIELD
115867,Brindle,Staffordshire Bull Terrier,MAX,Male,ELIZABETH VALE
115899,White,Poodle,TIANA,Desexed Female,SMITHFIELD
115907,Tri-Colored,Jack Russell Terrier,LUCKY,Male,CRAIGMORE
115916,White,Maltese,ZUES,Male,HILLBANK
115925,White,Maltese,MISSY,Desexed Female,ELIZABETH DOWNS
115937,White/Black,Fox Terrier (Smooth)  X,LENNON,Desexed Male,DAVOREN PARK
115949,Black/White,Border Collie,PIPER,Female,BLAKEVIEW
115956,White,Maltese X,TOBY,Desexed Male,CRAIGMORE
116026,Yellow,Labrador Retriever,LEO,Male,HILLBANK
116029,Black,Poodle X,MURPHY,Desexed Male,DAVOREN PARK
116064,White/Cream,Maltese X,ABBY,Desexed Female,CRAIGMORE
116073,Black,Australian Kelpie,JESSIE,Female,BLAKEVIEW
116085,Brown,Chihuahua,TARA,Desexed Female,HILLBANK
